Start,Steps,Max Value,Even Steps,Odd Steps
30106,41,45160,31,10
42102,194,250504,125,69
64324,99,64324,67,32
91923,84,413656,58,26
58068,60,58068,43,17
49377,189,1801924,122,67
45588,70,45588,49,21
36977,36,110932,28,8
67585,112,208384,75,37
78478,151,3818500,99,52
42534,150,95704,98,52
1829,130,9232,84,46
1918,130,41524,84,46
20619,211,190996,135,76
32255,191,2480056,123,68
47363,176,213136,114,62
20129,118,275560,78,40
59384,241,481624,154,87
65546,55,98320,40,15
82181,151,246544,99,52
87959,71,593728,50,21
9866,135,14800,88,47
2220,32,2500,24,8
39810,75,71764,52,23
5288,116,9232,76,40
34388,28,34388,23,5
8513,127,25540,83,44
1343,96,39364,63,33
63077,86,189232,59,27
19217,167,57652,108,59
93071,146,942352,96,50
79768,120,345544,80,40
97830,172,220120,112,60
26615,77,179656,53,24
36259,124,176740,82,42
93790,146,474820,96,50
42079,225,639088,144,81
83525,107,250576,72,35
96574,146,1856356,96,50
12220,94,223072,63,31
236,34,304,24,10
42930,75,72448,52,23
67445,161,202336,105,56
8568,171,10852,110,61
70793,86,6889048,59,27
65442,68,98164,48,20
84556,58,95128,42,16
73699,63,331648,45,18
5416,54,5416,38,16
36160,23,36160,20,3
43926,119,98836,79,40
5952,23,5952,19,4
87389,58,262168,42,16
8008,145,21688,94,51
41833,150,317680,98,52
58597,104,175792,70,34
30524,178,77272,115,63
88862,71,449872,50,21
86741,120,260224,80,40
15525,146,46576,95,51
19283,74,164752,51,23
23931,175,163780,113,62
78,35,304,24,11
20612,149,24784,97,52
16985,110,275560,73,37
14061,151,42184,98,53
82986,45,124480,34,11
84057,182,283696,118,64
43304,44,43304,33,11
59208,73,59208,51,22
75047,112,569896,75,37
29288,134,29288,88,46
93710,177,316276,115,62
39712,44,39712,33,11
11955,50,53800,36,14
73341,94,313288,64,30
72102,68,162232,48,20
71521,125,305512,83,42
87063,182,8153620,118,64
18575,167,225988,108,59
9185,184,55888,118,66
19097,136,176740,89,47
67729,205,203188,132,73
34017,204,1276936,131,73
11247,60,192184,42,18
45559,238,5399296,152,86
18382,61,104704,43,18
36456,62,36456,44,18
92264,146,92264,96,50
4019,25,18088,20,5
11303,86,85840,58,28
67507,86,303784,59,27
41158,62,92608,44,18
54918,60,123568,43,17
92739,53,417328,39,14
96647,45,652372,34,11
83123,89,374056,61,28
24520,157,44224,102,55
96810,71,145216,50,21
87488,45,87488,34,11
56820,91,56820,62,29
80911,182,819232,118,64
71325,55,213976,40,15
5409,116,16228,76,40
